date,decision,actual,confidence,traded,correct,pnl,lstm_signal,probs
2025-12-22,SELL,NO_TRADE,0.812,True,False,-0.0,-23.51,"{'BUY': np.float32(0.12850615), 'NO_TRADE': np.float32(0.059212882), 'SELL': np.float32(0.81228095)}"
2025-12-23,NO_TRADE,NO_TRADE,0.673,False,True,0.0,-23.51,"{'BUY': np.float32(0.0780668), 'NO_TRADE': np.float32(0.24930048), 'SELL': np.float32(0.67263275)}"
2025-12-24,NO_TRADE,BUY,0.671,False,False,0.0,-23.29,"{'BUY': np.float32(0.09592886), 'NO_TRADE': np.float32(0.23330173), 'SELL': np.float32(0.6707694)}"
2025-12-29,NO_TRADE,NO_TRADE,0.477,False,True,0.0,-23.94,"{'BUY': np.float32(0.3264703), 'NO_TRADE': np.float32(0.19650824), 'SELL': np.float32(0.4770215)}"
2025-12-30,NO_TRADE,NO_TRADE,0.477,False,True,0.0,-23.67,"{'BUY': np.float32(0.1307035), 'NO_TRADE': np.float32(0.39205915), 'SELL': np.float32(0.47723734)}"
2026-01-02,SELL,BUY,0.713,True,False,-3.17,-23.42,"{'BUY': np.float32(0.17610298), 'NO_TRADE': np.float32(0.111072786), 'SELL': np.float32(0.7128242)}"
2026-01-05,NO_TRADE,SELL,0.665,False,False,0.0,-25.75,"{'BUY': np.float32(0.113293104), 'NO_TRADE': np.float32(0.22161332), 'SELL': np.float32(0.6650936)}"
2026-01-06,SELL,BUY,0.749,True,False,-0.57,-24.41,"{'BUY': np.float32(0.06199163), 'NO_TRADE': np.float32(0.18915297), 'SELL': np.float32(0.7488554)}"
2026-01-07,SELL,NO_TRADE,0.836,True,False,0.28,-24.85,"{'BUY': np.float32(0.09728615), 'NO_TRADE': np.float32(0.0663232), 'SELL': np.float32(0.8363907)}"
2026-01-08,SELL,SELL,0.768,True,True,2.27,-24.62,"{'BUY': np.float32(0.150939), 'NO_TRADE': np.float32(0.08142407), 'SELL': np.float32(0.7676369)}"
2026-01-09,SELL,BUY,0.803,True,False,-2.03,-22.86,"{'BUY': np.float32(0.13889617), 'NO_TRADE': np.float32(0.05840637), 'SELL': np.float32(0.80269754)}"
2026-01-12,SELL,BUY,0.907,True,False,-2.84,-24.46,"{'BUY': np.float32(0.04570467), 'NO_TRADE': np.float32(0.047357764), 'SELL': np.float32(0.90693754)}"
2026-01-13,NO_TRADE,BUY,0.679,False,False,0.0,-26.55,"{'BUY': np.float32(0.2593032), 'NO_TRADE': np.float32(0.06163869), 'SELL': np.float32(0.67905813)}"
2026-01-14,NO_TRADE,NO_TRADE,0.628,False,True,0.0,-27.11,"{'BUY': np.float32(0.30784792), 'NO_TRADE': np.float32(0.06452897), 'SELL': np.float32(0.62762314)}"
2026-01-15,NO_TRADE,SELL,0.522,False,False,0.0,-27.29,"{'BUY': np.float32(0.4246292), 'NO_TRADE': np.float32(0.053607043), 'SELL': np.float32(0.52176374)}"
2026-01-19,SELL,SELL,0.84,True,True,0.55,-26.46,"{'BUY': np.float32(0.108449884), 'NO_TRADE': np.float32(0.05153718), 'SELL': np.float32(0.84001297)}"
2026-01-20,SELL,NO_TRADE,0.818,True,False,-0.0,-26.05,"{'BUY': np.float32(0.09928815), 'NO_TRADE': np.float32(0.082238875), 'SELL': np.float32(0.818473)}"
2026-01-21,NO_TRADE,BUY,0.561,False,False,0.0,-26.07,"{'BUY': np.float32(0.10894094), 'NO_TRADE': np.float32(0.33007747), 'SELL': np.float32(0.5609816)}"
2026-01-22,NO_TRADE,BUY,0.553,False,False,0.0,-28.85,"{'BUY': np.float32(0.5525476), 'NO_TRADE': np.float32(0.085362785), 'SELL': np.float32(0.36208963)}"
2026-01-23,NO_TRADE,BUY,0.444,False,False,0.0,-29.36,"{'BUY': np.float32(0.2457034), 'NO_TRADE': np.float32(0.31069663), 'SELL': np.float32(0.4436)}"
2026-01-26,SELL,BUY,0.733,True,False,-2.34,-30.8,"{'BUY': np.float32(0.061111674), 'NO_TRADE': np.float32(0.20624603), 'SELL': np.float32(0.7326423)}"
2026-01-27,SELL,SELL,0.875,True,True,11.93,-32.29,"{'BUY': np.float32(0.054653853), 'NO_TRADE': np.float32(0.06994328), 'SELL': np.float32(0.8754028)}"
2026-01-28,NO_TRADE,SELL,0.589,False,False,0.0,-23.01,"{'BUY': np.float32(0.58912146), 'NO_TRADE': np.float32(0.06514323), 'SELL': np.float32(0.34573534)}"
2026-01-29,SELL,BUY,0.814,True,False,-4.35,-22.9,"{'BUY': np.float32(0.1403396), 'NO_TRADE': np.float32(0.045346398), 'SELL': np.float32(0.81431395)}"
2026-01-30,NO_TRADE,SELL,0.538,False,False,0.0,-26.41,"{'BUY': np.float32(0.41449845), 'NO_TRADE': np.float32(0.047109548), 'SELL': np.float32(0.538392)}"
2026-02-02,NO_TRADE,SELL,0.463,False,False,0.0,-24.4,"{'BUY': np.float32(0.41801444), 'NO_TRADE': np.float32(0.119425766), 'SELL': np.float32(0.4625598)}"
2026-02-03,SELL,SELL,0.71,True,True,3.48,-23.41,"{'BUY': np.float32(0.19928363), 'NO_TRADE': np.float32(0.0902961), 'SELL': np.float32(0.7104203)}"
2026-02-04,NO_TRADE,SELL,0.601,False,False,0.0,-20.71,"{'BUY': np.float32(0.29748112), 'NO_TRADE': np.float32(0.101886906), 'SELL': np.float32(0.600632)}"
2026-02-05,NO_TRADE,BUY,0.486,False,False,0.0,-19.76,"{'BUY': np.float32(0.35448235), 'NO_TRADE': np.float32(0.15909004), 'SELL': np.float32(0.48642758)}"
2026-02-06,NO_TRADE,SELL,0.383,False,False,0.0,-21.9,"{'BUY': np.float32(0.27040505), 'NO_TRADE': np.float32(0.34652942), 'SELL': np.float32(0.3830655)}"
2026-02-09,NO_TRADE,BUY,0.583,False,False,0.0,-21.13,"{'BUY': np.float32(0.2978819), 'NO_TRADE': np.float32(0.11905309), 'SELL': np.float32(0.583065)}"
2026-02-10,NO_TRADE,BUY,0.689,False,False,0.0,-22.27,"{'BUY': np.float32(0.21086207), 'NO_TRADE': np.float32(0.09988856), 'SELL': np.float32(0.6892494)}"
2026-02-11,NO_TRADE,BUY,0.576,False,False,0.0,-25.07,"{'BUY': np.float32(0.28634855), 'NO_TRADE': np.float32(0.13766249), 'SELL': np.float32(0.575989)}"
2026-02-12,NO_TRADE,SELL,0.483,False,False,0.0,-25.51,"{'BUY': np.float32(0.03995737), 'NO_TRADE': np.float32(0.4825283), 'SELL': np.float32(0.4775143)}"
